tipo,isArray,nombreJava,numP,nombreCloud,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom37,119,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom38,120,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom39,121,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom40,122,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->EntryTransactionAmount,123,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->EntryPostedAmount,124,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->EntryApprovedAmount,125,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->EntryPaymentCode,126,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->EntryPaymentCodeName,127,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportPaymentReimbursementType,128,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->BillDate,129,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->BilledCreditCardAccountNumber,130,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->BilledCreditCardDescription,131,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->TransactionJRKey,132,,,,,,
